iter	RMSE
0	5260826.7
1	5172087.899
2	5084881.494
3	4997397.962
4	4907307.243
5	4845557.953
6	4757475.155
7	4684499.875
8	4618983.313
9	4552910.291
10	4486415.55
11	4423308.946
12	4366265.01
13	4313920.366
14	4254485.615
15	4194356.104
16	4120553.942
17	4073114.647
18	4005080.029
19	3952493.532
20	3904936.412
21	3851565.765
22	3803711.424
23	3749526.481
24	3697600.001
25	3660772.257
26	3624067.413
27	3579341.001
28	3524719.707
29	3484188.645
30	3440923.146
31	3395652.107
32	3356785.84
33	3321575.361
34	3280447.754
35	3239224.187
36	3202972.761
37	3167201.769
38	3131937.634
39	3097985.287
40	3072497.414
41	3038743.56
42	3006856.006
43	2972378.616
44	2944123.666
45	2916250.178
46	2891051.258
47	2864278.783
48	2843796.425
49	2819143.267
50	2802211.49
51	2781222.829
52	2754592.736
53	2737350.613
54	2716707.004
55	2687651.406
56	2663759.386
57	2643361.427
58	2620931.192
59	2606833.698
60	2590267.656
61	2574473.061
62	2560503.202
63	2541633.472
64	2527254.401
65	2510047.357
66	2495265.094
67	2478682.885
68	2461428.535
69	2448343.846
70	2425776.696
71	2412061.47
72	2395842.466
73	2376700.796
74	2360148.472
75	2344890.494
76	2333055.07
77	2319051.877
78	2301285.602
79	2289976.375
80	2274387.699
81	2257574.584
82	2246469.357
83	2232583.787
84	2218227.6
85	2204370.979
86	2190642.879
87	2177986.976
88	2165095.276
89	2154374.387
90	2145284.39
91	2138682.058
92	2124326.422
93	2110631.289
94	2100647.321
95	2088412.613
96	2079597.14
97	2069528.012
98	2059945.882
99	2049635.352
100	2039977.521
101	2026775.862
102	2018060.117
103	2008591.272
104	2002185.887
105	1993733.301
106	1985988.704
107	1978759.663
108	1967131.877
109	1959940.433
110	1952193.217
111	1946193.654
112	1937368.432
113	1932344.69
114	1927504.296
115	1920685.794
116	1914316.559
117	1907293.93
118	1900719.79
119	1896219.942
120	1889112.151
121	1884210.02
122	1871989.173
123	1867050.586
124	1857994.343
125	1853540.624
126	1844817.041
127	1840552.716
128	1835761.727
129	1826358.428
130	1821328.53
131	1812673.296
132	1804529.925
133	1798779.941
134	1789823.579
135	1783236.956
136	1771317.525
137	1765710.368
138	1761671.604
139	1754728.66
140	1751388.649
141	1741583.935
142	1735621.103
143	1731999.141
144	1727100.086
145	1720741.136
146	1715535.107
147	1713124.406
148	1704564.895
149	1695150.85
150	1690617.035
151	1685021.928
152	1676292.24
153	1671156.624
154	1667206.916
155	1661165.04
156	1654877.624
157	1645599.527
158	1634968.03
159	1633113.99
160	1627942.02
161	1622978.729
162	1613627.858
163	1606373.391
164	1596938.625
165	1591774.308
166	1584683.589
167	1578517.077
168	1575399.995
169	1566843.72
170	1559449.412
171	1557907.597
172	1551950.657
173	1548755.636
174	1546206.489
175	1543453.877
176	1539848.73
177	1537621.986
178	1531539.284
179	1528941.342
180	1525987.063
181	1519664.211
182	1515007.052
183	1509483.011
184	1503484.662
185	1498583.231
186	1493667.014
187	1491398.34
188	1485155.61
189	1482209.293
190	1474803.494
191	1471151.638
192	1469147.285
193	1465929.323
194	1463085.398
195	1460220.734
196	1458175.147
197	1452813.651
198	1450416.542
199	1448633.558
200	1444169.337
201	1441977.542
202	1436903.304
203	1432437.494
204	1428902.404
205	1423759.956
206	1418302.486
207	1411696.329
208	1408217.322
209	1406051.736
210	1404136.937
211	1400057.871
212	1396355.035
213	1393278.825
214	1391777.503
215	1385465.705
216	1382909.992
217	1378785.278
218	1375345.757
219	1369255.103
220	1364300.738
221	1361137.207
222	1352204.286
223	1343705.195
224	1342037.438
225	1340716.906
226	1337972.15
227	1332403.434
228	1328953.038
229	1324283.834
230	1320079.533
231	1318831.137
232	1316664.965
233	1313104.759
234	1308735.063
235	1305126.161
236	1303245.293
237	1300617.656
238	1296442.743
239	1293356.761
240	1290727.857
241	1284699.404
242	1282247.161
243	1280042.178
244	1277113.458
245	1270023.548
246	1268232.41
247	1266482.396
248	1261758.933
249	1259729.664
250	1256766.4
251	1255070.668
252	1251371.72
253	1245019.337
254	1243280.72
255	1237793.523
256	1234246.509
257	1232245.049
258	1227046.752
259	1225130.954
260	1221704.106
261	1218189.834
262	1217687.143
263	1215400.497
264	1213484.003
265	1209353.388
266	1207747.353
267	1204509.275
268	1198778.109
269	1197575.158
270	1194423.538
271	1192745.246
272	1189111.17
273	1185131.663
274	1179581.811
275	1175810.345
276	1174461.634
277	1170540.328
278	1166803.121
279	1165235.005
280	1162342.679
281	1160478.614
282	1159210.371
283	1158792.974
284	1158285.338
285	1154683.58
286	1154287.182
287	1153120.437
288	1149833.213
289	1146987.684
290	1145835.836
291	1145432.529
292	1142363.997
293	1141221.946
294	1139782.152
295	1139417.076
296	1136694.424
297	1131668.74
298	1128515.941
299	1123132.533
300	1118189.827
301	1115126.583
302	1112742.801
303	1110043.88
304	1109226.838
305	1105404.047
306	1103948.148
307	1102874.731
308	1098715.288
309	1095459.67
310	1092266.092
311	1089523.796
312	1087225.967
313	1084761.871
314	1081701.259
315	1077619.512
316	1075527.451
317	1072386.681
318	1071357.131
319	1068755.479
320	1067565.456
321	1067026.193
322	1063803.499
323	1062306.839
324	1059431.515
325	1056986.165
326	1055861.532
327	1052821.92
328	1050843.343
329	1048958.198
330	1046444.392
331	1046001.111
332	1043355.735
333	1040888.587
334	1039136.746
